nf_value,count,tier,matched_canonical,brand,lev
TRAVELERS INDEMNITY COMPANY OF CONNECTICUT,2,exact,Travelers Indemnity Company of Connecticut,,0
PENNSYLVANIA LUMBERMENS MUTUAL INSURANCE COMPANY,2,exact,Pennsylvania Lumbermens Mutual Insurance Company,,0
"ACCREDITED SURETY AND CASUALTY COMPANY, INC.",2,exact,"Accredited Surety and Casualty Company, Inc.",,0
"USAA CASUALTY INSURANCE COMPANY,",2,exact,USAA Casualty Insurance Company,,0
"PALISADES INSURANCE COMPANY,",2,exact,Palisades Insurance Company,,0
Standard Fire Insurance Company,2,exact,Standard Fire Insurance Company,,0
PROGRESSIVE NORTHERN INSURANCE COMPANY,2,exact,Progressive Northern Insurance Company,,0
REPUBLIC FRANKLIN INSURANCE COMPANY,2,exact,Republic-Franklin Insurance Company,,0
UNITRIN DIRECT INSURANCE COMPANY,2,exact,Unitrin Direct Insurance Company,,0
"UTICA MUTUAL INSURANCE COMPANY,",2,exact,Utica Mutual Insurance Company,,0
Encompass Home and Auto Insurance Company,2,exact,Encompass Home and Auto Insurance Company,,0
AMERICAN ALTERNATIVE INSURANCE CORPORATION,1,exact,American Alternative Insurance Corporation,,0
BANKERS STANDARD INSURANCE COMPANY,1,exact,Bankers Standard Insurance Company,,0
TWIN CITY FIRE INSURANCE COMPANY,1,exact,Twin City Fire Insurance Company,,0
21ST CENTURY PREMIER INSURANCE COMPANY,1,exact,21st Century Premier Insurance Company,,0
UNITRIN ADVANTAGE INSURANCE COMPANY,1,exact,Unitrin Advantage Insurance Company,,0
NEW HAMPSHIRE INSURANCE COMPANY,1,exact,New Hampshire Insurance Company,,0
AMTRUST NORTH AMERICA (WC),1,exact,Amtrust North America (WC),,0
NATIONAL CASUALTY COMPANY,1,exact,National Casualty Company,,0
Indiana Insurance Company,1,exact,Indiana Insurance Company,,0
NAVIGATORS INSURANCE COMPANY,1,exact,Navigators Insurance Company,,0
EVEREST NATIONAL INSURANCE COMPANY,1,exact,Everest National Insurance Company,,0
AMERICAN BANKERS INSURANCE COMPANY OF FLORIDA,1,exact,American Bankers Insurance Company of Florida,,0
MARKEL INSURANCE COMPANY,1,exact,Markel Insurance Company,,0
NATIONAL FIRE INSURANCE COMPANY OF HARTFORD,1,exact,National Fire Insurance Company of Hartford,,0
AIG Property Casualty Company.,1,exact,AIG Property Casualty Company,,0
Main Street America Protection Insurance Company,1,exact,Main Street America Protection Insurance Company,,0
"SENTINEL INSURANCE COMPANY, LTD",1,exact,"Sentinel Insurance Company, Ltd.",,0
HORACE MANN INSURANCE COMPANY,1,exact,Horace Mann Insurance Company,,0
ACADIA INSURANCE COMPANY,1,exact,Acadia Insurance Company,,0
AMERICAN MODERN HOME INSURANCE COMPANY,1,exact,American Modern Home Insurance Company,,0
"WAUSAU UNDERWRITERS INSURANCE COMPANY,",1,exact,Wausau Underwriters Insurance Company,,0
"LM INSURANCE CORPORATION,",1,exact,LM Insurance Corporation,,0
INDEMNITY INSURANCE COMPANY OF NORTH AMERICA,1,exact,Indemnity Insurance Company of North America,,0
SAFECO INSURANCE COMPANY OF INDIANA,1,exact,SAFECO Insurance Company of Indiana,,0
SECURITY NATIONAL INSURANCE COMPANY,1,exact,Security National Insurance Company,,0
Farmers Casualty Insurance Company,1,exact,Farmers Casualty Insurance Company,,0
STATE AUTOMOBILE MUTUAL INSURANCE COMPANY,1,exact,State Automobile Mutual Insurance Company,,0
ST.PAUL PROTECTIVE INSURANCE COMPANY,1,exact,St. Paul Protective Insurance Company,,0
Esurance Property and casualty Insurance company,1,exact,Esurance Property and Casualty Insurance Company,,0
Progressive American Insurance Company,1,exact,Progressive American Insurance Company,,0
"ENCOMPASS HOME AND AUTO INSURANCE COMPANY,",1,exact,Encompass Home and Auto Insurance Company,,0
AEGIS SECURITY INSURANCE COMPANY,1,exact,Aegis Security Insurance Company,,0
National Specialty Insurance Company,1,exact,National Specialty Insurance Company,,0
GEICO INSURANCE COMPANY,17719,typo,WESCO Insurance Company,,2
COUNTRYWIDE INSURANCE COMPANY,955,typo,Country-Wide Insurance Company,,1
All State Insurance Company,808,typo,Allstate Insurance Company,,1
NATIONWIDE INSURANCE COMPANY,596,typo,Nationwide Assurance Company,,2
21 CENTURY INSURANCE COMPANY,181,typo,21st Century Insurance Company,,2
THE GENERAL INSURANCE COMPANY,80,typo,Central Insurance Company,,2
AAA INSURANCE COMPANY,44,typo,AIU Insurance Company,,2
MGA INSURANCE COMPANY,38,typo,MGT Insurance Company,,1
UTICA NATIONAL INSURANCE COMPANY,37,typo,Utica National Assurance Company,,2
MERCURY INSURANCE COMPANY,33,typo,Mercer Insurance Company,,2
ENCOMPASS INSURANCE COMPANY,22,typo,Compass Insurance Company,,2
MICHIGAN MILLIER MUTUAL INSURANCE COMPANY,22,typo,Michigan Millers Mutual Insurance Company,,2
PARK INSURANCE COMPANY,20,typo,ARI Insurance Company,,2
GARRISON PROPERTY AND CASUALITY INSURANCE COMPANY,19,typo,Garrison Property and Casualty Insurance Company,,1
PMA INSURANCE COMPANY,17,typo,The Pie Insurance Company,,2
ACE INSURANCE COMPANY,15,typo,ACIG Insurance Company,,2
CNA INSURANCE COMPANY,13,typo,Canal Insurance Company,,2
STILL WATER PROPERTY AND CASUALTY INSURANCE COMPANY,13,typo,Stillwater Property and Casualty Insurance Company,,1
PURE INSURANCE COMPANY,11,typo,The Pie Insurance Company,,2
MAYA INSURANCE COMPANY,11,typo,Maya Assurance Company,,2
SAFCO INSURANCE COMPANY,10,typo,AMCO Insurance Company,,2
AM TRUST INSURANCE COMPANY,7,typo,AmTrust Insurance Company,,1
Verve Insurance Company,7,typo,Erie Insurance Company,,2
ZURICH NORTH AMERICAN INSURANCE COMPANY,6,typo,Zurich North America Insurance Company,,1
NATIONAL SPECIALITY INSURANCE COMPANY,6,typo,National Specialty Insurance Company,,1
ELCO INSURANCE COMPANY,5,typo,AMCO Insurance Company,,2
PROPERTY AND CASUALTY INSURANCE COMPANY OF HARTFOR,5,typo,Property and Casualty Insurance Company of Hartford,,1
ERIC INSURANCE COMPANY,4,typo,Erie Insurance Company,,1
FARMINGTON CASUALITY COMPANY,3,typo,Farmington Casualty Company,,1
STAR INDEMNITY & LIABILITY COMPANY,2,typo,Starr Indemnity & Liability Company,,1
QBE INSURANCE COMPANY,2,typo,The Pie Insurance Company,,2
"AAA INSURANCE COMPANY,",2,typo,AIU Insurance Company,,2
GUIDE ONE INSURANCE COMPANY,2,typo,GuideOne Insurance Company,,1
USAA GENERAL INSURANCE COMPANY,2,typo,CSAA General Insurance Company,,1
VANTAPRO SPECIALITY INSURANCE COMPANY,1,typo,Vantapro Specialty Insurance Company,,1
PROPERTY AND CASUALITY INSURANCE COMPANY OF HARTFORD,1,typo,Property and Casualty Insurance Company of Hartford,,1
AIG INSURANCE COMPANY,1,typo,ACIG Insurance Company,,1
NY TRANSIT AUTHORITY,1,typo,NYC Transit Authority,,1
PRIME INSURANCE COMPANY,1,typo,Erie Insurance Company,,2
ENSURANCE INSURANCE COMPANY,1,typo,Esurance Insurance Company,,1
NEW JERSEY CURE INSURANCE COMPANY,1,typo,New Jersey Re-Insurance Company,,2
