nf_value,count,canonical,kind
METLIFE AUTO AND HOME INSURANCE COMPANY,1,Metropolitan General Insurance Company,brand-generic -> flagship
21ST CENTURY AUTO INSURANCE,1,21st Century Insurance Company,brand-generic -> flagship
ALLSTATE INC. CO.,1,Allstate Insurance Company,brand-generic -> flagship
MERCURY INDEMNITY,1,Mercury Casualty Company,brand-generic -> flagship
PROPERTY AND CASUALITY INSURANCE COMPANY OF HARTFORD,1,Hartford Underwriters Insurance Company,brand-generic -> flagship
ADIRONDACK INDEMNITY COMPANY c/o National General,1,National General Insurance Company,brand-generic -> flagship
SAFECO CLAIMS,1,Safeco National Insurance Company,brand-generic -> flagship
COMPTROLLER INSURANCE,1,The City of New York Office of The Comptroller,govt self-insured
USAA MEDICAL MAIL DEPT,1,USAA Casualty Insurance Company,brand-generic -> flagship
SAFECO INS CO OF ILLINOIS,1,Safeco National Insurance Company,brand-generic -> flagship
AVIS BUDGET RENT A CAR,1,Avis Rent a Car,rental self-insured
NYCTA C\O CORVEL CORPORATION,1,New York City Transit Authority,self-insured
STATE FARM INS. CO.,1,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
AVIS BUDGET CLAIMS,1,Avis Rent a Car,rental self-insured
KEMPER CLAIMS DEPARTMENT,1,Kemper Independence Insurance Company,brand-generic -> flagship
KEMPER INS CO,1,Kemper Independence Insurance Company,brand-generic -> flagship
GMAC-NATIONAL GENERAL INSURANCE CO.,1,National General Insurance Company,brand-generic -> flagship
GARRISON PROPERTY AND CASUALITY. A USAA SUBSIDIARY,1,USAA Casualty Insurance Company,brand-generic -> flagship
LIBERTY MUTUAL AUTO INSURANCE,1,Liberty Mutual Insurance Company,brand-generic -> flagship
THE HARTFORD INSURANCE GROUP,1,Hartford Underwriters Insurance Company,brand-generic -> flagship
STATE FARM INSURANCE COMPANIES CLAIM OFFICE,1,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
Travelers Excess And Surplus Lines Company,1,Travelers Property Casualty Company of America,brand-generic -> flagship
"PROGRESSIVE COUNTY MUTUAL INSURANCE COMPANY,",1,Progressive Casualty Insurance Company,brand-generic -> flagship
PROGRESSIVE PREMIER INSURANCE COMPANY OF ILLINOIS,1,Progressive Casualty Insurance Company,brand-generic -> flagship
INTEGON GENERAL INSURANCE- NYP,1,National General Insurance Company,brand-generic -> flagship
